tract,total,total_se2,race,race_ct,race_ct_se2,race_share,race_share_se2
06001401300,4054,155653.0335085596,asian_nh,620,8993.265028963146,0.15293537247163297,7.687212604194131e-4
06001401300,4054,155653.0335085596,hisp,546,14341.700464703761,0.13468179575727676,0.001044430029812948
06001401400,4013,66122.44897959185,white_nh,889,13481.397991518923,0.22153002741091452,0.001038637494667441
06001401400,4013,66122.44897959185,black_nh,1509,40732.8091942979,0.3760279092947919,0.0019487682991778032
06001401400,4013,66122.44897959185,asian_nh,235,9108.932844301144,0.05855968103663095,5.515455870946837e-4
06001401400,4013,66122.44897959185,hisp,940,30651.60151883297,0.2342387241465238,0.0016780505434615578
06001401500,2638,32817.13953123123,white_nh,979,19379.347936549,0.3711144806671721,0.002135289842058512
06001401500,2638,32817.13953123123,black_nh,947,8650.696131780009,0.35898407884761185,0.0018508040406968814
06001401500,2638,32817.13953123123,asian_nh,181,6245.322936779963,0.0686125852918878,8.752394898224055e-4
06001401500,2638,32817.13953123123,hisp,362,7769.69909738454,0.1372251705837756,0.0010276882616507923
06001401600,2098,16142.127290028731,white_nh,531,7556.840753503755,0.2530981887511916,0.0014819136784357577
06001401600,2098,16142.127290028731,black_nh,946,20932.548664554095,0.45090562440419446,0.004010037662474699
06001401600,2098,16142.127290028731,asian_nh,179,3405.733502092553,0.08531935176358436,7.470523548459404e-4
06001401600,2098,16142.127290028731,hisp,270,10554.595763158137,0.12869399428026693,0.0023371588002623856
06001401700,2769,48694.672074352595,white_nh,910,11317.338162064281,0.3286384976525822,0.002161959192334897
06001401700,2769,48694.672074352595,black_nh,721,22912.20517179257,0.26038280967858435,0.0025576916219247725
06001401700,2769,48694.672074352595,asian_nh,251,2927.1717740966915,0.09064644275911882,4.339544028382675e-4
06001401700,2769,48694.672074352595,hisp,802,30651.60151883297,0.28963524738172625,0.003464904651564119
06001401800,1928,26740.69899575946,white_nh,515,6438.964902393731,0.2671161825726141,0.0022455014298375124
06001401800,1928,26740.69899575946,black_nh,815,21108.821980580367,0.42271784232365145,0.004393249424875604
06001401800,1928,26740.69899575946,asian_nh,71,887.2793119058397,0.03682572614107884,2.4845239994237444e-4
06001401800,1928,26740.69899575946,hisp,363,7769.69909738454,0.18827800829875518,0.0018352006599894877
06001402200,2557,14196.468990493435,white_nh,684,9108.932844301144,0.2675009777082519,0.0012378053106089973
06001402200,2557,14196.468990493435,black_nh,800,6936.0039171848,0.31286664059444663,8.48296685828788e-4
06001402200,2557,14196.468990493435,asian_nh,354,6635.563233894734,0.13844348846304264,9.732674908023192e-4
06001402200,2557,14196.468990493435,hisp,628,7556.840753503755,0.2456003128666406,0.0010248182117293587
06001402400,2820,39273.84262894836,white_nh,595,11577.498360140797,0.21099290780141844,0.0012359922983592297
06001402400,2820,39273.84262894836,black_nh,1441,33927.62446762317,0.5109929078014185,0.002976797453631443
06001402400,2820,39273.84262894836,asian_nh,315,6734.971036852948,0.11170212765957446,7.852895924132343e-4
06001402400,2820,39273.84262894836,hisp,336,10306.261028630557,0.11914893617021277,0.0012258828956806967
06001402500,1770,13765.209116693304,white_nh,142,3127.8351086926396,0.08022598870056497,9.701041661939027e-4
06001402500,1770,13765.209116693304,black_nh,1135,15530.159551371476,0.6412429378531074,0.003150438484490438
06001402500,1770,13765.209116693304,asian_nh,179,3621.9177575964745,0.10112994350282486,0.0011111549394076676
