tract,baplus,total,baplus_se2,total_se2,baplus_share,baplus_share_se2
06065040616,1770,4928,30811.984368215373,36668.175645088275,0.35917207792207795,0.0010739725798492555
06065040701,314,1572,2329.9858648756017,5866.908103214125,0.19974554707379136,8.481385043203413e-4
06065040702,210,1959,1676.259458061178,9578.995020371209,0.10719754977029096,4.081069301995223e-4
06065040703,301,1834,2141.887085300394,8537.984682329246,0.16412213740458015,5.684184479544129e-4
06065040806,468,2069,5704.677525152207,14341.700464703761,0.2261962300628323,0.0011612160147866269
06065040807,648,2303,6896.462523443057,13622.934008370212,0.28137212331741207,0.001096934511698546
06065040808,812,5152,17248.17767758982,207869.47644607862,0.15760869565217392,8.443533809656407e-4
06065040809,629,2340,10167.3118319306,20062.26845649984,0.2688034188034188,0.0015921007831269478
06065040812,513,2469,9329.551648635916,19719.330013580806,0.2077764277035237,0.0013907975439407948
06065040813,1015,4553,16074.86996609418,43476.686283386145,0.2229299363057325,6.712158417716249e-4
06065040814,722,3259,11218.299904841972,33704.04929740117,0.22154034980055232,9.004828132596212e-4
06065040815,656,2424,9530.584528967765,26147.57808963332,0.2706270627062706,0.001296094655824739
06065040816,656,2158,5244.593083951553,18708.252880147076,0.303985171455051,0.0014974061034627503
06065040821,999,3800,12135.512421356047,41968.93968089725,0.26289473684210524,6.39535049962718e-4
06065040901,1283,4409,21353.09171201301,79561.71875721768,0.29099569063279657,0.0014450255683152837
06065040902,896,3770,15992.09172125165,39757.20845151098,0.2376657824933687,9.671780453678328e-4
06065040903,296,1647,2437.154128287802,14930.017276263154,0.17972070431086826,0.0010762283441748766
06065040904,440,2677,3904.6202455631415,20932.548664554095,0.16436309301456856,4.659460520729479e-4
06065041001,83,1666,818.1742592917657,7556.840753503755,0.04981992797118848,2.880208469708281e-4
06065041002,174,2171,2533.975111094687,16452.54570818821,0.08014739751266697,5.152060866023033e-4
06065041003,282,1951,1682.911281307453,12922.644838831866,0.14454126089185032,5.130551019087967e-4
