tract,agg_rent
06037139301,469300
06037139302,2416300
06037139303,1937200
06037139401,1436100
06037139402,357800
06037139502,709800
06037139503,2604100
06037139504,1805400
06037139600,1622300
06037139701,1243200
06037139702,502500
06037139703,462700
06037139801,328400
06037139802,287000
06037141101,2969700
06037141102,1553400
06037141201,3103200
06037141202,1581600
06037141302,3738200
06037141303,2346400
06037141304,1345100
06037141400,1645200
06037141500,64400
06037141600,467900
06037141700,184500
06037143100,2396100
06037143200,2499000
06037143300,3243900
06037143400,3221500
06037143500,2496800
06037143602,2226200
06037143603,1655800
06037143604,3707500
06037143700,1005200
06037143800,1707900
06037143901,650000
06037143902,1088800
06037181000,509100
06037181300,751400
06037181400,1540100
06037181500,528200
06037181600,748700
06037183101,726200
06037183103,1464300
06037183104,371900
06037183220,779500
06037183221,614700
06037183222,449100
06037183300,723900
06037183401,408600
06037183402,908600
06037183510,369400
06037183520,858100
06037183610,777200
06037183620,685900
06037183701,1099000
06037183702,728800
06037183810,1354800
06037183820,980300
06037185100,1416000
06037185202,1168700
06037185203,683300
06037185204,223900
06037185310,645700
06037185320,643800
06037186100,929800
06037186201,1105400
06037186202,392600
06037186203,467100
06037186301,760600
06037186302,1024300
06037186401,1054200
06037186403,538600
06037186404,665600
06037187101,813700
06037187102,986900
06037187200,772300
06037187300,1677500
06037188100,1862000
06037188201,2409300
06037188202,966100
06037188300,1310500
06037189101,1673900
06037189102,2263600
06037189201,2617800
06037189202,1029900
06037189300,167400
06037189400,1462800
06037189500,3544800
06037189600,2112500
06037189701,1495300
06037189702,1120200
06037189800,3450300
06037189902,4425200
06037189903,1815200
06037189904,2528600
06037189905,1749300
06037190100,3630900
06037190201,1415100
06037190202,3219600
06037190301,3262500
06037190401,2211900
06037190402,1458300
06037190510,2094500
06037190520,1546600
06037190700,1996300
06037190801,1199600
06037190802,1466600
06037190901,1504300
06037190902,1599700
06037191000,3187000
06037191110,1165400
06037191120,1490000
06037191201,1641000
06037191203,1093800
06037191204,862800
06037191301,1026300
06037191302,918400
06037191410,1609800
06037191420,1384900
06037191500,1506900
06037191610,1527900
06037191620,1277200
06037191710,1019300
06037191720,1235700
06037191810,1429600
06037191820,1595200
06037191901,2221500
06037191902,1365500
06037192001,1552300
06037192002,1349900
06037192300,1672000
06037192410,1480600
06037192420,1623600
06037192510,1292200
06037192520,1676500
06037192610,1557800
06037192620,1195800
06037192700,1118900
06037194101,1919800
06037194102,596900
06037194200,827700
06037194300,828900
06037194401,1756300
06037194402,3435900
06037194500,904000
06037195100,1750300
06037195201,2071300
06037195202,1450600
06037195300,1725900
06037195400,2408200
06037195500,1910200
06037195600,1296500
06037195710,1403500
06037195720,826600
06037195802,895300
06037195803,1423300
06037195804,1038100
06037195901,1381600
06037195902,1125700
06037195903,1063300
06037197200,676600
06037197300,1895200
06037197410,1623200
06037197420,1217200
06037197500,1755000
06037197600,1040200
06037197700,2235800
06037199000,1126300
06037199110,401700
06037199120,904800
06037199201,991600
06037199202,509700
06037199300,740800
06037199400,808700
06037199700,1101900
06037199800,1038300
06037199900,565600
06037201110,406100
06037201120,1005500
06037201200,523200
